to_d,stock,current,forecast,buying,quant,g_act_abs,g_act_pct,g_exp_abs,g_exp_pct
22-01-21,PINS,73,71,67.48,10,50,0.08,-20,-0.03
22-01-21,TWTR,48,46,48.75,2,0,-0.02,-4,-0.04
22-01-21,ABNB,181,173,155.128,16,400,0.17,-128,-0.04
23-01-21,AAPL,139,133,137.078,8,8,0.01,-48,-0.04
23-01-21,DBX,22,22,21.49,24,0,0.02,0,0.0
23-01-21,SPWR,47,41,33.364,17,221,0.41,-102,-0.13
23-01-21,NIO,61,59,57.21,15,45,0.07,-30,-0.03
23-01-21,SONO,28,27,21.199,25,150,0.32,-25,-0.04
23-01-21,RVLV,36,35,29.6,15,90,0.22,-15,-0.03
23-01-21,MRNA,131,128,146.58,3,-45,-0.11,-9,-0.02
23-01-21,BNTX,108,105,110.4,5,-10,-0.02,-15,-0.03
23-01-21,NET,83,82,81.02,7,7,0.02,-7,-0.01
23-01-21,PINS,73,72,67.48,10,50,0.08,-10,-0.01
23-01-21,ABNB,181,174,155.128,16,400,0.17,-112,-0.04
24-01-21,AAPL,139,133,137.078,8,8,0.01,-48,-0.04
24-01-21,DBX,22,22,21.49,24,0,0.02,0,0.0
24-01-21,SPWR,47,41,33.364,17,221,0.41,-102,-0.13
24-01-21,NIO,61,59,57.21,15,45,0.07,-30,-0.03
24-01-21,SONO,28,27,21.199,25,150,0.32,-25,-0.04
24-01-21,RVLV,36,35,29.6,15,90,0.22,-15,-0.03
24-01-21,MRNA,131,128,146.58,3,-45,-0.11,-9,-0.02
24-01-21,BNTX,108,105,110.4,5,-10,-0.02,-15,-0.03
24-01-21,NET,83,82,81.02,7,7,0.02,-7,-0.01
24-01-21,PINS,73,72,67.48,10,50,0.08,-10,-0.01
24-01-21,ABNB,181,174,155.128,16,400,0.17,-112,-0.04
25-01-21,AAPL,142,135,137.078,8,32,0.04,-56,-0.05
25-01-21,DBX,22,22,21.49,24,0,0.02,0,0.0
25-01-21,SPWR,47,42,33.364,17,221,0.41,-85,-0.11
25-01-21,NIO,59,59,57.21,15,15,0.03,0,0.0
25-01-21,SONO,27,27,21.199,25,125,0.27,0,0.0
25-01-21,RVLV,37,35,29.6,15,105,0.25,-30,-0.05
25-01-21,MRNA,147,132,146.58,3,0,0.0,-45,-0.1
25-01-21,BNTX,110,106,110.4,5,0,-0.0,-20,-0.04
25-01-21,NET,82,82,81.02,7,0,0.01,0,0.0
25-01-21,PINS,73,72,67.48,10,50,0.08,-10,-0.01
25-01-21,ABNB,177,175,155.128,16,336,0.14,-32,-0.01
26-01-21,AAPL,143,136,137.078,8,40,0.04,-56,-0.05
26-01-21,DBX,22,22,21.49,24,0,0.02,0,0.0
26-01-21,SPWR,53,44,33.364,17,323,0.59,-153,-0.17
26-01-21,NIO,60,59,57.21,15,30,0.05,-15,-0.02
26-01-21,SONO,27,27,21.199,25,125,0.27,0,0.0
26-01-21,RVLV,37,36,29.6,15,105,0.25,-15,-0.03
26-01-21,MRNA,151,135,146.58,3,12,0.03,-48,-0.11
26-01-21,BNTX,106,106,110.4,5,-20,-0.04,0,0.0
26-01-21,NET,77,81,81.02,7,-28,-0.05,28,0.05
26-01-21,PINS,69,72,67.48,10,10,0.02,30,0.04
26-01-21,ABNB,192,178,155.128,16,576,0.24,-224,-0.07
27-01-21,AAPL,142,137,137.078,8,32,0.04,-40,-0.04
27-01-21,DBX,24,22,21.49,24,48,0.12,-48,-0.08
27-01-21,SPWR,52,45,33.364,17,306,0.56,-119,-0.13
27-01-21,NIO,57,59,57.21,15,0,-0.0,30,0.04
27-01-21,SONO,26,27,21.199,25,100,0.23,25,0.04
27-01-21,RVLV,37,36,29.6,15,105,0.25,-15,-0.03
27-01-21,MRNA,155,138,146.58,3,24,0.06,-51,-0.11
27-01-21,BNTX,105,106,110.4,5,-25,-0.05,5,0.01
27-01-21,NET,74,80,81.02,7,-49,-0.09,42,0.08
27-01-21,PINS,64,71,67.48,10,-30,-0.05,70,0.11
27-01-21,ABNB,201,181,155.128,16,720,0.3,-320,-0.1
28-01-21,AAPL,137,137,137.078,8,0,-0.0,0,0.0
28-01-21,DBX,23,22,21.49,24,24,0.07,-24,-0.04
28-01-21,SPWR,52,46,33.364,17,306,0.56,-102,-0.12
28-01-21,NIO,58,59,57.21,15,0,0.01,15,0.02
28-01-21,SONO,27,27,21.199,25,125,0.27,0,0.0
28-01-21,RVLV,37,36,29.6,15,105,0.25,-15,-0.03
28-01-21,MRNA,159,141,146.58,3,36,0.08,-54,-0.11
28-01-21,BNTX,110,106,110.4,5,0,-0.0,-20,-0.04
28-01-21,NET,78,80,81.02,7,-21,-0.04,14,0.03
28-01-21,PINS,68,70,67.48,10,0,0.01,20,0.03
28-01-21,ABNB,187,182,155.128,16,496,0.21,-80,-0.03
29-01-21,AAPL,131,138,137.078,8,-48,-0.04,56,0.05
29-01-21,DBX,22,22,21.49,24,0,0.02,0,0.0
29-01-21,SPWR,54,48,33.364,17,340,0.62,-102,-0.11
29-01-21,PYPL,234,241,238.63,3,-12,-0.02,21,0.03
29-01-21,SQ,215,216,217.63,2,-4,-0.01,2,0.0
29-01-21,NIO,57,58,57.21,15,0,-0.0,15,0.02
29-01-21,SONO,26,27,21.199,25,100,0.23,25,0.04
29-01-21,RVLV,37,36,29.6,15,105,0.25,-15,-0.03
29-01-21,MRNA,173,147,146.58,3,78,0.18,-78,-0.15
29-01-21,BNTX,116,108,110.4,5,25,0.05,-40,-0.07
29-01-21,NET,76,79,81.02,7,-35,-0.06,21,0.04
29-01-21,PINS,68,70,67.48,10,0,0.01,20,0.03
29-01-21,ABNB,183,183,155.128,16,432,0.18,0,0.0
30-01-21,AAPL,131,138,137.078,8,-48,-0.04,56,0.05
30-01-21,DBX,22,22,21.49,24,0,0.02,0,0.0
30-01-21,SPWR,54,48,33.364,17,340,0.62,-102,-0.11
30-01-21,PYPL,234,241,238.63,3,-12,-0.02,21,0.03
30-01-21,SQ,215,216,217.63,2,-4,-0.01,2,0.0
30-01-21,NIO,57,58,57.21,15,0,-0.0,15,0.02
30-01-21,SONO,26,27,21.199,25,100,0.23,25,0.04
30-01-21,RVLV,37,36,29.6,15,105,0.25,-15,-0.03
30-01-21,MRNA,173,147,146.58,3,78,0.18,-78,-0.15
30-01-21,BNTX,116,108,110.4,5,25,0.05,-40,-0.07
30-01-21,NET,76,79,81.02,7,-35,-0.06,21,0.04
30-01-21,PINS,68,70,67.48,10,0,0.01,20,0.03
30-01-21,ABNB,183,183,155.128,16,432,0.18,0,0.0
